BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Administracja publiczna;750;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;75076;;;;0;0;287;0;0;0;0;287
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Administracja publiczna;750;Pozostała działalność;75095;;;;0;0;62;0;0;0;0;62
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Obrona narodowa;752;Pozostałe wydatki obronne;75212;;;;0;0;4;0;0;0;0;4
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Przetwórstwo przemysłowe;150;Rozliczenia związane z systemem dopłat do oprocentowania  kredytów eksportowych o stałych stopach procentowych;15018;;;;0;0;5000;0;0;0;0;5000
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Przetwórstwo przemysłowe;150;Wspieranie polskiego eksportu poprzez udzielanie przez Bank Gospodarstwa Krajowego kredytów eksportowych;15019;;;;0;0;0;7000;0;0;0;7000
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Hotele i restauracje;550;Bary mleczne;55003;;;;21000;0;0;0;0;0;0;21000
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Administracja publiczna;750;Urzędy naczelnych i centralnych organów administracji rządowej;75001;;;;0;443;260743;0;0;0;28912;290098
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Administracja publiczna;750;Izby skarbowe;75008;;;;0;32;292064;22600;0;0;0;314696
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Administracja publiczna;750;Urzędy skarbowe;75009;;;;0;802;2542128;32920;0;0;0;2575850
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Administracja publiczna;750;Urzędy kontroli skarbowej;75010;;;;0;32;476542;2569;0;0;28392;507535
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Administracja publiczna;750;Izby celne i urzędy celne;75013;;;;0;56122;1299927;164937;0;0;1360;1522346
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Administracja publiczna;750;Komisje egzaminacyjne;75046;;;;0;200;877;0;0;0;0;1077
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Administracja publiczna;750;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;75076;;;;0;0;2887;0;0;0;0;2887
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Administracja publiczna;750;Pozostała działalność;75095;;;;0;60;89609;20060;0;0;13969;123698
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Obrona narodowa;752;Pozostałe wydatki obronne;75212;;;;0;0;116;0;0;0;0;116
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Bezpieczeństwo  publiczne i ochrona przeciwpożarowa;754;Obrona cywilna;75414;;;;0;0;44;0;0;0;0;44
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających  osobowości prawnej oraz wydatki związane z ich poborem;756;Pobór podatków, opłat i niepodatkowych  należności budżetowych;75647;;;;0;0;247364;0;0;0;0;247364
BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;19;;;Różne rozliczenia;758;Partie polityczne;75823;;;;172782;0;720;0;0;0;0;173502
GOSPODARKA;20;;;Górnictwo i kopalnictwo;100;Górnictwo węgla kamiennego;10001;;;;438843;0;0;0;0;0;0;438843
GOSPODARKA;20;;;Górnictwo i kopalnictwo;100;Górnictwo węgla brunatnego;10002;;;;0;1;0;0;0;0;0;1
GOSPODARKA;20;;;Górnictwo i kopalnictwo;100;Produkcja soli;10005;;;;86000;0;0;0;0;0;0;86000
GOSPODARKA;20;;;Górnictwo i kopalnictwo;100;Pozostała działalność;10095;;;;14000;20;200;0;0;0;0;14220
GOSPODARKA;20;;;Przetwórstwo przemysłowe;150;Zadania w zakresie bezpiecznego wykorzystania energii atomowej;15004;;;;0;1326;23770;0;0;0;0;25096
GOSPODARKA;20;;;Przetwórstwo przemysłowe;150;Hutnictwo;15006;;;;0;0;250;0;0;0;0;250
GOSPODARKA;20;;;Przetwórstwo przemysłowe;150;Rozwój przedsiębiorczości;15011;;;;5104;0;1180;0;0;0;560;6844
GOSPODARKA;20;;;Przetwórstwo przemysłowe;150;Polska Agencja Rozwoju Przedsiębiorczości;15012;;;;66552;0;0;3668;0;0;189661;259881
GOSPODARKA;20;;;Przetwórstwo przemysłowe;150;Wsparcie finansowe inwestycji;15014;;;;46543;0;0;18348;0;0;0;64891
GOSPODARKA;20;;;Przetwórstwo przemysłowe;150;Pozostała działalność;15095;;;;4450;0;52001;0;0;0;69411;125862
GOSPODARKA;20;;;Handel;500;Agencja Rezerw Materiałowych;50003;;;;110699;0;0;0;0;0;0;110699
GOSPODARKA;20;;;Handel;500;Promocja eksportu;50005;;;;14142;6300;11580;150;0;0;17262;49434
GOSPODARKA;20;;;Administracja publiczna;750;Urzędy naczelnych i centralnych organów administracji rządowej;75001;;;;0;248;106345;6695;0;0;27794;141082
GOSPODARKA;20;;;Administracja publiczna;750;Placówki zagraniczne;75057;;;;0;26150;46804;2800;0;0;138;75892
GOSPODARKA;20;;;Administracja publiczna;750;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;75076;;;;419;0;4079;0;0;0;0;4498
GOSPODARKA;20;;;Obrona narodowa;752;Pozostałe wydatki obronne;75212;;;;0;0;285;20;0;0;0;305
GOSPODARKA;20;;;Obrona narodowa;752;Zadania związane z utrzymaniem mocy rezerwowych ze względu na potrzeby Sił Zbrojnych Rzeczypospolitej  Polskiej;75215;;;;73000;0;0;0;0;0;0;73000
GOSPODARKA;20;;;Bezpieczeństwo  publiczne i ochrona przeciwpożarowa;754;Organizacja Traktatu Północnoatlantyckiego;75417;;;;0;0;29;0;0;0;0;29
GOSPODARKA;20;;;Gospodarka komunalna i ochrona środowiska;900;Fundusz Ochrony Środowiska i Gospodarki Wodnej;90011;;;;0;0;0;0;0;0;6021;6021
GOSPODARKA  MORSKA;21;;;Transport i łączność;600;Urzędy morskie;60043;;;;0;2299;228530;322729;0;0;3081;556639
GOSPODARKA  MORSKA;21;;;Transport i łączność;600;Ratownictwo morskie;60044;;;;0;2490;26880;110;0;0;0;29480
GOSPODARKA  MORSKA;21;;;Transport i łączność;600;Pozostała działalność;60095;;;;0;0;14471;0;0;0;0;14471
GOSPODARKA  MORSKA;21;;;Administracja publiczna;750;Urzędy naczelnych i centralnych organów administracji rządowej;75001;;;;0;5;11251;200;0;0;455;11911
GOSPODARKA  MORSKA;21;;;Administracja publiczna;750;Placówki zagraniczne;75057;;;;0;0;731;0;0;0;0;731
GOSPODARKA  MORSKA;21;;;Administracja publiczna;750;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;75076;;;;0;0;160;0;0;0;0;160
GOSPODARKA  MORSKA;21;;;Obrona narodowa;752;Pozostałe wydatki obronne;75212;;;;0;0;393;50;0;0;0;443
GOSPODARKA  MORSKA;21;;;Wymiar sprawiedliwości;755;Izby morskie;75504;;;;0;42;1732;0;0;0;0;1774
GOSPODARKA  MORSKA;21;;;Szkolnictwo wyższe;803;Działalność dydaktyczna;80306;;;;89378;44;0;0;0;0;5041;94463
GOSPODARKA  MORSKA;21;;;Szkolnictwo wyższe;803;Pomoc materialna dla studentów i doktorantów;80309;;;;12130;68;0;0;0;0;0;12198
GOSPODARKA  MORSKA;21;;;Gospodarka komunalna i ochrona środowiska;900;Ochrona brzegów morskich;90018;;;;0;0;28715;26090;0;0;0;54805
GOSPODARKA  WODNA;22;;;Działalność usługowa;710;Krajowy Zarząd Gospodarki Wodnej;71016;;;;1930;5;11283;100;0;0;0;13318
GOSPODARKA  WODNA;22;;;Działalność usługowa;710;Regionalne zarządy gospodarki wodnej;71018;;;;0;1876;196867;720;0;0;68125;267588
GOSPODARKA  WODNA;22;;;Działalność usługowa;710;Państwowa służba hydrologiczno-meteorologiczna;71019;;;;20620;0;0;0;0;0;0;20620
GOSPODARKA  WODNA;22;;;Administracja publiczna;750;Urzędy naczelnych i centralnych organów administracji rządowej;75001;;;;0;0;24794;0;0;0;0;24794
